id,monto_final,descuento,igv,pagado,pedido_id
11,21.69,2.5,3.31,1,11
12,77.17,2.5,11.77,1,12
13,33.58,2.5,5.12,1,13
14,77.63,0.0,11.84,1,14
15,75.06,0.0,11.45,1,15
16,27.2,5.0,4.15,1,16
17,28.24,5.0,4.31,1,17
18,30.28,0.0,4.62,1,18
19,81.3,0.0,12.4,1,19
20,36.79,5.0,5.61,1,20
21,87.95,2.5,13.42,1,21
22,21.45,5.0,3.27,1,22
23,50.1,5.0,7.64,1,23
24,76.75,0.0,11.71,1,24
25,68.97,2.5,10.52,1,25
26,25.23,2.5,3.85,1,26
27,68.89,2.5,10.51,1,27
28,88.08,0.0,13.44,1,28
29,56.31,5.0,8.59,1,29
30,80.77,0.0,12.32,1,30
31,32.85,5.0,5.01,1,31
32,45.12,2.5,6.88,1,32
33,36.37,2.5,5.55,1,33
34,28.53,2.5,4.35,1,34
35,38.11,0.0,5.81,1,35
36,45.31,2.5,6.91,1,36
37,21.68,2.5,3.31,1,37
38,68.05,5.0,10.38,1,38
39,80.24,5.0,12.24,1,39
40,59.94,0.0,9.14,1,40
41,49.56,2.5,7.56,1,41
42,41.42,0.0,6.32,1,42
43,87.56,0.0,13.36,1,43
44,85.13,0.0,12.99,1,44
45,88.81,0.0,13.55,1,45
46,62.24,5.0,9.49,1,46
47,49.58,0.0,7.56,1,47
48,81.83,5.0,12.48,1,48
49,87.63,5.0,13.37,1,49
50,76.18,0.0,11.62,1,50
51,24.71,2.5,3.77,1,51
52,48.79,0.0,7.44,1,52
53,22.13,5.0,3.38,1,53
54,60.86,0.0,9.28,1,54
55,77.12,0.0,11.76,1,55
56,25.95,2.5,3.96,1,56
57,75.28,2.5,11.48,1,57
58,77.29,5.0,11.79,1,58
59,85.36,0.0,13.02,1,59
60,88.41,0.0,13.49,1,60
61,62.56,2.5,9.54,1,61
62,28.34,5.0,4.32,1,62
63,86.08,0.0,13.13,1,63
64,50.26,2.5,7.67,1,64
65,45.97,2.5,7.01,1,65
66,35.39,5.0,5.4,1,66
67,62.88,2.5,9.59,1,67
68,45.84,5.0,6.99,1,68
69,78.43,5.0,11.96,1,69
70,84.0,0.0,12.81,1,70
71,43.87,0.0,6.69,1,71
72,23.69,0.0,3.61,1,72
73,65.82,2.5,10.04,1,73
74,36.72,2.5,5.6,1,74
75,34.04,0.0,5.19,1,75
76,84.17,0.0,12.84,1,76
77,81.14,5.0,12.38,1,77
78,85.29,0.0,13.01,1,78
79,39.23,0.0,5.98,1,79
80,73.83,2.5,11.26,1,80
81,23.67,0.0,3.61,1,81
82,70.03,0.0,10.68,1,82
83,47.83,2.5,7.3,1,83
84,87.54,5.0,13.35,1,84
85,82.19,0.0,12.54,1,85
86,92.59,0.0,14.12,1,86
87,22.36,2.5,3.41,1,87
88,37.49,0.0,5.72,1,88
89,24.39,5.0,3.72,1,89
90,80.56,0.0,12.29,1,90
91,47.02,0.0,7.17,1,91
92,33.0,5.0,5.03,1,92
93,30.69,2.5,4.68,1,93
94,47.09,5.0,7.18,1,94
95,68.9,5.0,10.51,1,95
96,56.75,0.0,8.66,1,96
97,59.81,5.0,9.12,1,97
98,69.23,2.5,10.56,1,98
99,57.93,2.5,8.84,1,99
100,30.6,0.0,4.67,1,100
101,19.79,5.0,3.02,1,101
102,58.06,2.5,8.86,1,102
103,69.68,0.0,10.63,1,103
104,44.05,5.0,6.72,1,104
105,93.44,0.0,14.25,1,105
106,91.23,2.5,13.92,1,106
107,76.97,2.5,11.74,1,107
108,27.47,2.5,4.19,1,108
109,28.98,0.0,4.42,1,109
110,55.94,2.5,8.53,1,110
111,44.1,5.0,6.73,1,111
112,90.51,0.0,13.81,1,112
113,50.8,2.5,7.75,1,113
114,24.06,2.5,3.67,1,114
115,52.84,0.0,8.06,1,115
116,56.33,2.5,8.59,1,116
117,75.52,5.0,11.52,1,117
118,64.7,0.0,9.87,1,118
119,69.53,0.0,10.61,1,119
120,25.56,2.5,3.9,1,120
121,79.8,0.0,12.17,1,121
122,81.49,0.0,12.43,1,122
123,45.78,5.0,6.98,1,123
124,62.67,0.0,9.56,1,124
125,63.45,0.0,9.68,1,125
126,20.79,5.0,3.17,1,126
127,43.97,5.0,6.71,1,127
128,24.61,2.5,3.75,1,128
129,68.55,2.5,10.46,1,129
130,75.25,2.5,11.48,1,130
131,25.69,0.0,3.92,1,131
132,58.69,0.0,8.95,1,132
133,29.98,0.0,4.57,1,133
134,45.89,5.0,7.0,1,134
135,89.69,2.5,13.68,1,135
136,45.52,5.0,6.94,1,136
137,67.4,5.0,10.28,1,137
138,27.49,0.0,4.19,1,138
139,30.53,2.5,4.66,1,139
140,34.42,2.5,5.25,1,140
141,40.53,2.5,6.18,1,141
142,56.34,5.0,8.59,1,142
143,43.99,2.5,6.71,1,143
144,51.98,0.0,7.93,1,144
145,52.96,5.0,8.08,1,145
146,24.08,5.0,3.67,1,146
147,36.53,2.5,5.57,1,147
148,74.13,5.0,11.31,1,148
149,68.45,5.0,10.44,1,149
150,87.77,0.0,13.39,1,150
151,51.5,5.0,7.86,1,151
152,78.47,5.0,11.97,1,152
153,83.05,2.5,12.67,1,153
154,69.45,2.5,10.59,1,154
155,68.88,5.0,10.51,1,155
156,56.97,2.5,8.69,1,156
157,73.84,0.0,11.26,1,157
158,43.15,5.0,6.58,1,158
159,53.61,2.5,8.18,1,159
160,51.91,0.0,7.92,1,160
