id,numero_transaccion,fecha,factura_id,metodo_pago_id
11,TRX-05393,2025-07-04 04:51:28.589370,11,2
12,TRX-01907,2025-06-16 23:07:00.312304,12,3
13,TRX-07064,2025-06-24 20:50:12.445970,13,1
14,TRX-45422,2025-06-26 20:44:04.584156,14,1
15,TRX-76498,2025-06-09 12:35:18.449776,15,1
16,TRX-24911,2025-06-20 11:41:02.794044,16,1
17,TRX-12329,2025-07-04 17:13:17.637792,17,1
18,TRX-42919,2025-06-18 04:01:55.649485,18,2
19,TRX-63808,2025-06-22 07:17:51.433417,19,2
20,TRX-40022,2025-06-25 15:32:00.542265,20,1
21,TRX-22202,2025-07-01 03:29:27.845007,21,2
22,TRX-67632,2025-06-23 11:52:13.455884,22,2
23,TRX-70217,2025-06-17 03:35:36.865498,23,2
24,TRX-48041,2025-07-04 00:54:05.722201,24,3
25,TRX-34491,2025-06-11 02:09:04.364449,25,2
26,TRX-79162,2025-06-23 08:50:38.191199,26,1
27,TRX-53193,2025-06-13 07:18:00.194522,27,1
28,TRX-52650,2025-06-22 21:48:59.762793,28,3
29,TRX-61297,2025-07-02 21:53:31.163283,29,3
30,TRX-98884,2025-06-17 11:45:35.470843,30,2
31,TRX-11822,2025-06-11 03:47:31.022419,31,3
32,TRX-73225,2025-06-29 06:16:00.739119,32,3
33,TRX-41377,2025-07-02 08:03:31.370030,33,2
34,TRX-65503,2025-06-10 02:57:54.181700,34,3
35,TRX-10417,2025-07-01 17:00:35.719052,35,3
36,TRX-92069,2025-06-30 04:21:39.029067,36,2
37,TRX-03721,2025-06-23 07:26:44.611247,37,3
38,TRX-98827,2025-06-09 16:59:53.955515,38,2
39,TRX-12513,2025-07-05 18:46:42.584535,39,1
40,TRX-96405,2025-06-23 22:52:48.243053,40,2
41,TRX-04387,2025-06-22 13:20:00.766708,41,2
42,TRX-37578,2025-06-13 17:15:53.071946,42,2
43,TRX-08969,2025-06-27 19:36:59.667851,43,3
44,TRX-88308,2025-06-27 02:24:35.233471,44,1
45,TRX-08666,2025-06-14 14:34:13.072095,45,1
46,TRX-14494,2025-06-14 00:39:01.366560,46,3
47,TRX-01518,2025-06-29 10:00:45.859947,47,1
48,TRX-01385,2025-06-26 03:03:52.917802,48,1
49,TRX-80611,2025-06-22 02:30:30.312117,49,1
50,TRX-69362,2025-07-05 08:50:22.114604,50,1
51,TRX-84414,2025-06-15 17:59:48.452933,51,2
52,TRX-61403,2025-06-13 20:59:52.268570,52,3
53,TRX-90844,2025-06-21 05:04:20.707357,53,3
54,TRX-36679,2025-07-03 22:21:08.526004,54,2
55,TRX-80465,2025-06-17 00:36:03.741136,55,2
56,TRX-03366,2025-06-28 15:48:47.227739,56,3
57,TRX-05470,2025-06-09 09:11:32.990531,57,2
58,TRX-52212,2025-07-04 02:07:36.997403,58,1
59,TRX-71818,2025-07-04 17:13:40.208220,59,2
60,TRX-18687,2025-06-22 20:34:44.409039,60,2
61,TRX-67352,2025-07-01 16:40:14.391534,61,3
62,TRX-20625,2025-06-12 23:36:33.647992,62,2
63,TRX-08190,2025-06-25 11:38:22.685053,63,3
64,TRX-99646,2025-06-26 12:43:05.688546,64,2
65,TRX-58446,2025-07-06 06:37:16.770424,65,3
66,TRX-50588,2025-07-04 01:02:18.468661,66,3
67,TRX-31900,2025-06-25 08:53:35.660436,67,3
68,TRX-64689,2025-06-10 13:31:08.792802,68,3
69,TRX-14335,2025-07-03 15:38:24.179001,69,1
70,TRX-98381,2025-06-18 16:39:14.742212,70,3
71,TRX-27593,2025-06-09 06:20:21.790602,71,1
72,TRX-60566,2025-06-16 12:27:47.464749,72,1
73,TRX-02729,2025-06-30 22:36:23.024581,73,3
74,TRX-66185,2025-07-03 02:36:19.675709,74,2
75,TRX-19122,2025-07-03 20:24:42.380663,75,2
76,TRX-01915,2025-07-01 19:22:52.755244,76,1
77,TRX-96778,2025-06-17 14:29:23.154068,77,1
78,TRX-40997,2025-06-26 06:04:49.751947,78,3
79,TRX-39985,2025-06-13 04:48:10.782969,79,3
80,TRX-82188,2025-06-14 06:11:46.855466,80,1
81,TRX-31303,2025-06-29 23:41:05.354150,81,2
82,TRX-13806,2025-06-15 09:30:33.593502,82,2
83,TRX-19625,2025-06-09 05:41:44.984043,83,2
84,TRX-73219,2025-06-17 16:49:49.181975,84,1
85,TRX-84727,2025-07-02 20:57:54.576345,85,2
86,TRX-33683,2025-06-14 09:47:05.393761,86,3
87,TRX-80454,2025-07-04 22:52:15.247538,87,2
88,TRX-93530,2025-06-09 16:50:22.995718,88,1
89,TRX-61493,2025-06-25 10:54:35.088303,89,1
90,TRX-09927,2025-07-04 15:38:56.218831,90,2
91,TRX-83908,2025-06-20 03:23:18.867948,91,2
92,TRX-86369,2025-07-04 10:50:01.009389,92,1
93,TRX-45831,2025-07-03 22:47:43.518417,93,2
94,TRX-17346,2025-06-06 22:42:38.783847,94,2
95,TRX-21763,2025-06-08 09:48:27.090528,95,3
96,TRX-95151,2025-06-24 22:21:00.390706,96,1
97,TRX-36226,2025-06-21 00:47:46.053792,97,1
98,TRX-14244,2025-06-07 18:02:34.892541,98,3
99,TRX-86020,2025-06-23 18:19:25.930957,99,3
100,TRX-57682,2025-06-08 13:38:50.264981,100,2
101,TRX-92914,2025-06-29 23:00:42.265921,101,1
102,TRX-58653,2025-06-30 22:00:42.280952,102,1
103,TRX-20521,2025-06-15 02:59:04.590817,103,1
104,TRX-97418,2025-06-21 11:04:15.653157,104,1
105,TRX-92664,2025-06-25 16:46:25.701857,105,1
106,TRX-59046,2025-06-24 15:57:04.566949,106,2
107,TRX-23730,2025-06-22 07:29:10.506861,107,2
108,TRX-53779,2025-06-24 10:34:31.763063,108,3
109,TRX-97256,2025-07-04 16:11:30.486544,109,1
110,TRX-59683,2025-07-03 15:48:22.296571,110,1
111,TRX-19574,2025-06-24 08:14:01.617274,111,1
112,TRX-15422,2025-06-21 16:19:33.115120,112,2
113,TRX-43407,2025-06-14 05:39:24.854279,113,2
114,TRX-57040,2025-06-12 17:17:26.068358,114,2
115,TRX-96839,2025-06-23 05:00:11.552711,115,3
