id,cantidad,precio,oferta_id,pedido_id,notas
4,1,38.25,3,153,
5,1,38.25,3,71,
6,1,38.25,3,60,
7,1,25.5,7,41,
8,1,32.0,4,146,
9,1,32.0,4,35,
10,1,38.25,3,103,
11,1,29.75,6,149,
12,1,25.5,7,140,
13,1,38.25,3,67,
14,1,38.25,3,129,
15,1,32.0,4,64,
16,1,29.75,6,81,
17,1,25.5,7,24,
18,1,25.5,7,158,
19,1,23.8,5,39,
20,1,29.75,6,49,
21,1,32.0,4,132,
22,1,23.8,5,138,
23,1,32.0,4,56,
24,1,38.25,3,51,
25,1,23.8,5,22,
26,1,32.0,4,147,
27,1,38.25,3,93,
28,1,32.0,4,57,
29,1,29.75,6,47,
30,1,32.0,4,37,
31,1,29.75,6,66,
32,1,32.0,4,43,
33,1,38.25,3,53,
34,1,29.75,6,89,
35,1,25.5,7,114,
36,1,29.75,6,124,
37,1,38.25,3,108,
38,1,29.75,6,69,
