id,cantidad,precio,producto_id,pedido_id,notas
15,1,5.5,17,11,
16,2,9.5,14,12,
17,2,15.0,4,13,
18,2,12.0,11,14,
19,1,10.0,10,15,
20,2,11.0,15,16,
21,1,14.0,5,16,
22,1,17.0,3,17,
23,2,14.0,5,18,poca sal
24,1,6.0,16,19,
25,2,8.0,7,20,
26,1,5.5,17,20,
27,2,18.0,13,21,
28,2,8.0,2,21,
29,2,10.0,9,22,
30,1,8.0,2,22,
31,1,22.5,12,23,
32,2,15.0,4,23,
33,2,15.0,4,24,
34,1,17.0,3,25,
35,2,10.0,1,26,
36,2,8.0,2,26,
37,1,15.0,4,26,
38,1,10.0,10,27,
39,2,10.0,9,28,
40,1,8.0,2,28,
41,2,12.0,11,28,
42,1,18.0,13,29,templada
43,2,12.0,8,30,
44,2,10.0,10,31,
45,1,14.0,5,32,
46,1,5.5,17,33,
47,1,14.0,5,34,
48,1,10.0,6,34,
49,1,6.0,16,34,
50,2,9.5,14,35,
51,2,5.5,17,35,
52,1,14.0,5,36,templada
53,1,12.0,8,37,
54,2,5.5,17,37,sin hielo
55,2,6.0,16,38,
56,1,6.0,16,39,
57,1,9.5,14,40,
58,1,12.0,8,41,sin hielo
59,2,8.0,7,41,
60,2,18.0,13,41,
61,2,8.0,2,42,
62,1,5.5,17,43,
63,1,8.0,2,44,
64,2,8.0,2,45,
65,2,8.0,2,46,
66,2,8.0,7,46,
67,2,10.0,6,47,
68,2,5.5,17,48,con hielo
69,1,14.0,5,48,
70,1,12.0,8,48,
71,1,10.0,1,49,
72,1,8.0,7,50,
73,1,11.0,15,50,
74,2,15.0,4,51,
75,1,18.0,13,52,
76,2,10.0,6,53,
77,1,14.0,5,54,
78,1,10.0,6,54,
79,2,11.0,15,55,
80,1,14.0,5,56,templada
81,2,6.0,16,57,
82,1,6.0,16,58,
83,2,11.0,15,59,
84,1,9.5,14,59,
85,1,8.0,7,60,
86,1,22.5,12,61,
87,2,10.0,10,62,
88,1,9.5,14,63,
89,2,10.0,6,64,
90,1,8.0,2,65,
91,1,18.0,13,66,
92,2,17.0,3,67,
93,2,10.0,10,67,
94,1,8.0,7,68,
95,1,5.5,17,69,
