id,total,entregado,fecha,mesa_id,trabajador_id
11,21.69,1,2025-06-17 22:53:29.753730,9,7
12,77.17,1,2025-06-07 15:43:28.916858,8,6
13,33.58,1,2025-06-22 07:18:14.933001,6,8
14,77.63,1,2025-06-11 10:25:02.026271,4,2
15,75.06,1,2025-07-03 14:56:57.229585,6,2
16,27.2,1,2025-06-11 07:22:42.805411,2,7
17,28.24,1,2025-06-26 22:43:29.597489,1,3
18,30.28,1,2025-06-09 12:21:52.820868,4,4
19,81.3,1,2025-06-19 04:29:43.669306,10,5
20,36.79,1,2025-06-25 15:10:37.535937,9,6
21,87.95,1,2025-07-02 12:08:50.643574,4,7
22,21.45,1,2025-06-07 21:25:20.606618,6,2
23,50.1,1,2025-06-15 23:32:19.769543,4,4
24,76.75,1,2025-06-16 13:40:44.692786,7,4
25,68.97,1,2025-06-11 00:47:53.954039,8,2
26,25.23,1,2025-07-01 18:30:09.127336,7,8
27,68.89,1,2025-06-18 06:35:13.028593,2,8
28,88.08,1,2025-06-08 16:06:14.596983,2,7
29,56.31,1,2025-06-26 13:35:44.509231,8,5
30,80.77,1,2025-06-16 15:43:49.973003,9,7
31,32.85,1,2025-06-09 11:41:14.888047,10,7
32,45.12,1,2025-06-26 14:41:17.706301,2,5
33,36.37,1,2025-07-03 21:35:03.440170,6,1
34,28.53,1,2025-06-22 03:14:12.152711,4,1
35,38.11,1,2025-07-02 22:56:58.663702,5,5
36,45.31,1,2025-06-25 00:19:07.791136,4,2
37,21.68,1,2025-06-19 05:24:11.032831,2,4
38,68.05,1,2025-06-12 08:14:51.788829,9,5
39,80.24,1,2025-06-15 17:14:22.196045,1,1
40,59.94,1,2025-07-01 21:02:42.481804,1,2
41,49.56,1,2025-06-13 10:50:48.996649,1,8
42,41.42,1,2025-06-07 02:29:49.253915,7,6
43,87.56,1,2025-07-05 15:25:17.328939,10,1
44,85.13,1,2025-06-07 14:41:06.991918,4,8
45,88.81,1,2025-06-18 15:17:16.017878,6,2
46,62.24,1,2025-06-19 15:38:51.595997,6,4
47,49.58,1,2025-06-19 02:10:49.393557,10,7
48,81.83,1,2025-06-08 22:40:50.303170,7,7
49,87.63,1,2025-06-23 09:06:12.150774,8,2
50,76.18,1,2025-06-18 05:09:23.626831,1,8
51,24.71,1,2025-06-29 05:52:09.732043,3,5
52,48.79,1,2025-06-21 17:24:07.400316,4,6
53,22.13,1,2025-06-14 07:47:42.186979,2,5
54,60.86,1,2025-06-07 22:03:09.556459,2,6
55,77.12,1,2025-06-15 06:15:34.918322,5,8
56,25.95,1,2025-06-18 17:19:58.954855,3,3
