id_turno,id_trabajador,inicio_turno,fin_turno
3,1,2025-07-15 14:00:00,2025-07-15 22:00:00
4,1,2025-07-08 08:00:00,2025-07-08 16:00:00
5,1,2025-07-18 08:00:00,2025-07-18 16:00:00
6,1,2025-07-23 18:00:00,2025-07-24 02:00:00
7,1,2025-07-14 08:00:00,2025-07-14 16:00:00
8,2,2025-07-05 14:00:00,2025-07-05 22:00:00
9,2,2025-07-10 08:00:00,2025-07-10 16:00:00
10,2,2025-07-21 08:00:00,2025-07-21 16:00:00
11,2,2025-07-01 14:00:00,2025-07-01 22:00:00
12,2,2025-07-22 14:00:00,2025-07-22 22:00:00
13,3,2025-07-06 18:00:00,2025-07-07 02:00:00
14,3,2025-07-15 18:00:00,2025-07-16 02:00:00
15,3,2025-07-24 18:00:00,2025-07-25 02:00:00
16,3,2025-07-01 14:00:00,2025-07-01 22:00:00
17,3,2025-07-25 08:00:00,2025-07-25 16:00:00
18,4,2025-07-28 18:00:00,2025-07-29 02:00:00
19,4,2025-07-13 08:00:00,2025-07-13 16:00:00
20,4,2025-07-26 14:00:00,2025-07-26 22:00:00
21,4,2025-07-21 14:00:00,2025-07-21 22:00:00
22,4,2025-07-23 18:00:00,2025-07-24 02:00:00
23,5,2025-07-01 18:00:00,2025-07-02 02:00:00
24,5,2025-07-03 14:00:00,2025-07-03 22:00:00
25,5,2025-07-29 18:00:00,2025-07-30 02:00:00
26,5,2025-07-11 18:00:00,2025-07-12 02:00:00
27,5,2025-07-02 14:00:00,2025-07-02 22:00:00
28,6,2025-07-14 14:00:00,2025-07-14 22:00:00
29,6,2025-07-23 18:00:00,2025-07-24 02:00:00
30,6,2025-07-18 18:00:00,2025-07-19 02:00:00
31,6,2025-07-26 08:00:00,2025-07-26 16:00:00
32,6,2025-07-22 08:00:00,2025-07-22 16:00:00
33,7,2025-07-20 14:00:00,2025-07-20 22:00:00
34,7,2025-07-24 08:00:00,2025-07-24 16:00:00
35,7,2025-07-17 18:00:00,2025-07-18 02:00:00
36,7,2025-07-12 08:00:00,2025-07-12 16:00:00
37,7,2025-07-04 14:00:00,2025-07-04 22:00:00
38,8,2025-07-12 14:00:00,2025-07-12 22:00:00
39,8,2025-07-20 08:00:00,2025-07-20 16:00:00
40,8,2025-07-06 18:00:00,2025-07-07 02:00:00
41,8,2025-07-18 18:00:00,2025-07-19 02:00:00
42,8,2025-07-03 18:00:00,2025-07-04 02:00:00
